policy,n_subjects,final_entropy_mean,final_entropy_sd,final_entropy_ci95_lo,final_entropy_ci95_hi,final_decision_accuracy,mean_info_gain_per_step,mean_cumulative_info_gain_at_T
EDT_full,211,0.9314623119696706,0.12275351396926651,0.9151100999231425,0.9474781454158245,0.45023696682464454,0.016714997669843894,0.1671499766984392
E_only,211,0.9377860663815007,0.11704803887068324,0.9214969797608789,0.953351149746849,0.44549763033175355,0.016082622228660876,0.160826222286609
D_only,211,0.9569958308262132,0.10897025275745853,0.9422822163759907,0.9719094232664938,0.36018957345971564,0.014161645784189637,0.14161645784189658
greedy_eig,211,1.0237310137384823,0.062222896923637576,1.0154736435560037,1.032152871704597,0.41706161137440756,0.007488127492962726,0.07488127492962748
random,211,1.0254981370522338,0.06362585766932394,1.0166839629461915,1.03365926562194,0.4028436018957346,0.007311415161587573,0.07311415161587595
T_only,211,1.075115708259373,0.024653488296864867,1.071517598649833,1.0781761588826113,0.33175355450236965,0.0023496580408736687,0.023496580408736912
