policy,subject_hash,fold,step,action,true_class,modal_class,posterior_entropy,info_gain_step,info_gain_cumulative,decision_argmax,decision_correct,alpha_neg,alpha_neu,alpha_pos
E_only,e7f6c011776e8db7,0,1,E_only,0,1,1.058284680581234,0.04032760808687552,0.040327608086875744,1,1,1.1000856193809463,1.8803292441078998,1.0195851365111537
E_only,e7f6c011776e8db7,0,2,E_only,2,1,1.0655679749661275,-0.007283294384893502,0.03304431370198224,0,0,2.031478735427784,1.8807153813173614,1.0878058832548543
E_only,e7f6c011776e8db7,0,3,E_only,1,1,1.0470984995199144,0.018469475446213135,0.05151378914819538,1,1,2.0457164533617767,2.7475586193298724,1.2067249273083505
E_only,e7f6c011776e8db7,0,4,E_only,1,1,1.0163912161339144,0.03070728338600004,0.08222107253419542,1,1,2.0599541712957694,3.6144018573423837,1.3256439713618466
E_only,e7f6c011776e8db7,0,5,E_only,1,1,0.9836896124135375,0.03270160372037689,0.11492267625457231,1,1,2.074191889229762,4.481245095354895,1.4445630154153428
E_only,e7f6c011776e8db7,0,6,E_only,2,1,1.0132055830879514,-0.029515970674413916,0.08540670558015839,1,1,3.0055850052766,4.481631232564356,1.5127837621590434
E_only,e7f6c011776e8db7,0,7,E_only,1,1,0.992104460174204,0.02110112291374744,0.10650782849390583,1,1,3.0198227232105928,5.348474470576868,1.6317028062125396
E_only,e7f6c011776e8db7,0,8,E_only,1,1,0.9703228293514482,0.02178163082275575,0.12828945931666158,1,1,3.0340604411445855,6.215317708589379,1.7506218502660358
E_only,e7f6c011776e8db7,0,9,E_only,1,1,0.9489707128231424,0.02135211652830582,0.1496415758449674,1,1,3.0482981590785783,7.08216094660189,1.869540894319532
E_only,e7f6c011776e8db7,0,10,E_only,2,1,0.9769729799163925,-0.028002267093250155,0.12163930875171725,1,1,3.979691275125416,7.082547083811352,1.9377616410632326
D_only,e7f6c011776e8db7,0,1,D_only,0,1,1.067238152325385,0.03137413634272446,0.03137413634272468,0,0,1.816668847322635,1.0777583234054575,1.1055728292719074
D_only,e7f6c011776e8db7,0,2,D_only,2,1,1.0667554617338437,0.0004826905915413793,0.03185682693426606,1,1,1.8229890946624812,2.0702876112294217,1.1067232941080969
D_only,e7f6c011776e8db7,0,3,D_only,1,1,1.0165941230755657,0.05016133865827799,0.08201816559254405,1,1,1.8230905858633861,3.070181101254464,1.1067283128821495
D_only,e7f6c011776e8db7,0,4,D_only,1,1,0.9573055792186604,0.059288543856905296,0.14130670944944934,1,1,1.823192077064291,4.070074591279507,1.106733331656202
D_only,e7f6c011776e8db7,0,5,D_only,1,1,0.8997355569822566,0.05757002223640384,0.19887673168585318,1,1,1.823293568265196,5.06996808130455,1.1067383504302546
D_only,e7f6c011776e8db7,0,6,D_only,2,1,0.847874841462974,0.05186071551928262,0.2507374472051358,1,1,1.8296138156050423,6.062497369128514,1.1078888152664441
D_only,e7f6c011776e8db7,0,7,D_only,1,1,0.8001447644910875,0.04773007697188647,0.29846752417702227,1,1,1.8297153068059473,7.062390859153556,1.1078938340404967
D_only,e7f6c011776e8db7,0,8,D_only,1,1,0.7572861204089467,0.042858644082140795,0.34132616825916307,1,1,1.8298167980068523,8.062284349178599,1.1078988528145493
D_only,e7f6c011776e8db7,0,9,D_only,1,1,0.7187961623328721,0.03848995807607458,0.37981612633523765,1,1,1.8299182892077572,9.062177839203642,1.1079038715886018
D_only,e7f6c011776e8db7,0,10,D_only,2,1,0.6851502547560361,0.033645907576836054,0.4134620339120737,1,1,1.8362385365476035,10.054707127027607,1.1090543364247913
T_only,e7f6c011776e8db7,0,1,T_only,0,1,1.0894453553044432,0.009166933363666363,0.009166933363666585,1,1,1.2423546921075284,1.5883252412630247,1.169320066629447
T_only,e7f6c011776e8db7,0,2,T_only,2,1,1.0959849241691928,-0.006539568864749601,0.002627364498916984,1,1,1.6937944750497294,1.7985097406142319,1.5076957843360388
T_only,e7f6c011776e8db7,0,3,T_only,1,1,1.0924148334858574,0.0035700906833353585,0.006197455182252343,0,0,2.3090614717208413,1.9090093881457573,1.7819291401334016
T_only,e7f6c011776e8db7,0,4,T_only,1,1,1.0831127157874088,0.009302117698448686,0.015499572880701029,0,0,2.9243284683919533,2.0195090356772827,2.0561624959307645
T_only,e7f6c011776e8db7,0,5,T_only,1,1,1.072410095221105,0.010702620566303667,0.026202193447004696,0,0,3.539595465063065,2.130008683208808,2.3303958517281274
T_only,e7f6c011776e8db7,0,6,T_only,2,1,1.0713111863922489,0.0010989088288562154,0.02730110227586091,0,0,3.991035248005266,2.3401931825600153,2.668771569434719
T_only,e7f6c011776e8db7,0,7,T_only,1,1,1.0616567199097706,0.009654466482478252,0.03695556875833916,0,0,4.606302244676378,2.4506928300915405,2.943004925232082
T_only,e7f6c011776e8db7,0,8,T_only,1,1,1.052590791180477,0.00906592872929357,0.046021497487632734,0,0,5.22156924134749,2.5611924776230657,3.2172382810294446
T_only,e7f6c011776e8db7,0,9,T_only,1,1,1.0442188039029106,0.008371987277566495,0.05439348476519923,0,0,5.836836238018602,2.671692125154591,3.4914716368268075
T_only,e7f6c011776e8db7,0,10,T_only,2,1,1.0453121273558188,-0.0010933234529082458,0.05330016131229098,0,0,6.2882760209608035,2.8818766245057983,3.829847354533399
EDT_full,e7f6c011776e8db7,0,1,EDT_full,0,1,1.0704593640222946,0.02815292464581498,0.028152924645815203,1,1,1.1909581306068453,1.7788649881688796,1.030176881224275
EDT_full,e7f6c011776e8db7,0,2,EDT_full,2,1,1.0685939652925822,0.0018653987297123642,0.030018323375527567,0,0,2.086427084283755,1.7827746235774746,1.1307982921387703
EDT_full,e7f6c011776e8db7,0,3,EDT_full,1,1,1.0425851843627256,0.02600878092985659,0.05602710430538416,1,1,2.0908776364859114,2.749752112902262,1.1593702506118264
EDT_full,e7f6c011776e8db7,0,4,EDT_full,1,1,0.9981940384331103,0.04439114592961535,0.1004182502349995,1,1,2.0953281886880677,3.7167296022270495,1.1879422090848826
EDT_full,e7f6c011776e8db7,0,5,EDT_full,1,1,0.9509200521232872,0.047273986309823046,0.14769223654482255,1,1,2.099778740890224,4.683707091551837,1.2165141675579387
EDT_full,e7f6c011776e8db7,0,6,EDT_full,2,1,0.9871470585987651,-0.03622700647547783,0.11146523006934472,1,1,2.995247694567134,4.6876167269604325,1.317135578472434
EDT_full,e7f6c011776e8db7,0,7,EDT_full,1,1,0.9534674417622933,0.033679616836471804,0.14514484690581653,1,1,2.9996982467692903,5.65459421628522,1.34570753694549
EDT_full,e7f6c011776e8db7,0,8,EDT_full,1,1,0.9198548649972309,0.03361257676506235,0.17875742367087888,1,1,3.0041487989714466,6.621571705610008,1.3742794954185462
EDT_full,e7f6c011776e8db7,0,9,EDT_full,1,1,0.8875707014497386,0.032284163547492306,0.21104158721837118,1,1,3.008599351173603,7.588549194934796,1.4028514538916024
EDT_full,e7f6c011776e8db7,0,10,EDT_full,2,1,0.924826806476444,-0.0372561050267054,0.17378548219166579,1,1,3.904068304850513,7.592458830343391,1.5034728648060975
random,e7f6c011776e8db7,0,1,EDT_full,0,1,1.0704593640222946,0.02815292464581498,0.028152924645815203,1,1,1.1909581306068453,1.7788649881688796,1.030176881224275
random,e7f6c011776e8db7,0,2,E_only,2,1,1.064357921649024,0.006101442373270594,0.034254367019085796,0,0,2.122351246653683,1.7792511253783412,1.0983976279679757
random,e7f6c011776e8db7,0,3,D_only,1,1,1.034913504401723,0.029444417247300958,0.06369878426638675,1,1,2.122452737854588,2.779144615403384,1.0984026467420283
random,e7f6c011776e8db7,0,4,T_only,1,1,1.0518695613514648,-0.016956056949741782,0.04674272731664497,1,1,2.7377197345257,2.889644262934909,1.372636002539391
random,e7f6c011776e8db7,0,5,D_only,1,1,1.0200268085467243,0.03184275280474047,0.07858548012138544,1,1,2.7378212257266052,3.8895377529599515,1.3726410213134437
random,e7f6c011776e8db7,0,6,D_only,2,1,0.9808626343304685,0.03916417421625584,0.11774965433764129,1,1,2.7441414730664517,4.882067040783916,1.3737914861496332
random,e7f6c011776e8db7,0,7,EDT_full,1,1,0.9441517997764031,0.03671083455406543,0.15446048889170672,1,1,2.748592025268608,5.849044530108704,1.4023634446226894
