subject_hash,condition,y,kappa,kappa_null_mean,p_value,reject_at_0p05
e7f6c011776e8db7,Negative,0,0.32663102176037395,0.15772848131828576,0.039192161567686463,True
e7f6c011776e8db7,Neutral,1,0.23330578167108257,0.16198196826548433,0.1315736852629474,False
e7f6c011776e8db7,Pleasant,2,0.33646042452296454,0.15675447808327614,0.025994801039792043,True
7902699be42c8a8e,Negative,0,0.09576795874679307,0.16435692238250457,0.8956208758248351,False
7902699be42c8a8e,Neutral,1,0.37158557349977644,0.15790767448477272,0.010797840431913617,True
7902699be42c8a8e,Pleasant,2,0.2091312993326463,0.16142539968060268,0.20775844831033793,False
2c624232cdd22177,Negative,0,0.1626262324044587,0.16727737997410178,0.5038992201559688,False
2c624232cdd22177,Neutral,1,0.17306936116054994,0.16073973326072302,0.3649270145970806,False
2c624232cdd22177,Pleasant,2,0.10073648907919232,0.16300685291471678,0.8722255548890222,False
19581e27de7ced00,Negative,0,0.2679787803362827,0.15958203123942416,0.07658468306338732,False
19581e27de7ced00,Neutral,1,0.2889361847134829,0.16401873346175977,0.03699260147970406,True
19581e27de7ced00,Pleasant,2,0.25742996134095747,0.1631495193619396,0.07378524295140972,False
4a44dc15364204a8,Negative,0,0.12689941909659533,0.1645982322683434,0.7108578284343131,False
4a44dc15364204a8,Neutral,1,0.12806822058170453,0.16301654374273708,0.6836632673465307,False
4a44dc15364204a8,Pleasant,2,0.2648664724725045,0.16187825314370943,0.0639872025594881,False
4fc82b26aecb47d2,Negative,0,0.2014587341546418,0.1642702317141267,0.241751649670066,False
4fc82b26aecb47d2,Neutral,1,0.3371065235540933,0.16438736740004872,0.009598080383923215,True
4fc82b26aecb47d2,Pleasant,2,0.24018311696631636,0.16383253961713543,0.10317936412717456,False
6b51d431df5d7f14,Negative,0,0.3126638336675608,0.16370878541119246,0.018196360727854428,True
6b51d431df5d7f14,Neutral,1,0.2604540653665399,0.16423511467129592,0.052389522095580884,False
6b51d431df5d7f14,Pleasant,2,0.33349115451792055,0.16312133561756983,0.010997800439912017,True
3fdba35f04dc8c46,Negative,0,0.21810968420782895,0.16381765316508304,0.16876624675064986,False
3fdba35f04dc8c46,Neutral,1,0.16418533424900578,0.16342857224919388,0.4321135772845431,False
3fdba35f04dc8c46,Pleasant,2,0.2321084937103081,0.16186680730042238,0.14157168566286743,False
8527a891e2241369,Negative,0,0.10394473763988119,0.16105121091178182,0.7998400319936013,False
8527a891e2241369,Neutral,1,0.3058175358430436,0.16238851112414923,0.027794441111777646,True
8527a891e2241369,Pleasant,2,0.21066811942236996,0.16086936008655142,0.1967606478704259,False
e629fa6598d73276,Negative,0,0.17673495884584384,0.1615909398729175,0.3499300139972006,False
e629fa6598d73276,Neutral,1,0.279142043432425,0.16503267846253042,0.04339132173565287,True
e629fa6598d73276,Pleasant,2,0.2459751169104979,0.1586448186305022,0.11237752449510098,False
b17ef6d19c7a5b1e,Negative,0,0.1938819283328174,0.16113315870678144,0.277744451109778,False
b17ef6d19c7a5b1e,Neutral,1,0.22773392786779603,0.16037062637699895,0.14697060587882424,False
b17ef6d19c7a5b1e,Pleasant,2,0.40320442067710716,0.15528324454879233,0.00639872025594881,True
4523540f1504cd17,Negative,0,0.16692328438430046,0.1637848544787275,0.4205158968206359,False
4523540f1504cd17,Neutral,1,0.21424147423185827,0.16291805755996233,0.1965606878624275,False
4523540f1504cd17,Pleasant,2,0.41848465363541243,0.16318873927436092,0.0011997600479904018,True
4ec9599fc203d176,Negative,0,0.08245144757811668,0.16037917434008056,0.9100179964007199,False
4ec9599fc203d176,Neutral,1,0.6630230403410166,0.16040011730677653,0.0001999600079984003,True
4ec9599fc203d176,Pleasant,2,0.43750010208659956,0.15793952921643287,0.0011997600479904018,True
9400f1b21cb527d7,Negative,0,0.4709465527674724,0.1592656719236841,0.0013997200559888023,True
9400f1b21cb527d7,Neutral,1,0.368010195246107,0.15782422637594098,0.014197160567886422,True
9400f1b21cb527d7,Pleasant,2,0.27093881633668704,0.16382381906319532,0.05378924215156969,False
f5ca38f748a1d6ea,Negative,0,0.47827103807760596,0.1585632660141458,0.0005998800239952009,True
f5ca38f748a1d6ea,Neutral,1,0.1354787039788642,0.16146105463921442,0.5912817436512697,False
f5ca38f748a1d6ea,Pleasant,2,0.2764689914704988,0.16459812750196548,0.03279344131173765,True
6f4b6612125fb3a0,Negative,0,0.15916392536807647,0.16389119868715654,0.48990201959608076,False
6f4b6612125fb3a0,Neutral,1,0.28719511597346165,0.16373401159632844,0.03839232153569286,True
6f4b6612125fb3a0,Pleasant,2,0.17935288290663803,0.16343011089218468,0.34973005398920215,False
785f3ec7eb32f30b,Negative,0,0.1798477320192026,0.16205105301147765,0.33613277344531095,False
785f3ec7eb32f30b,Neutral,1,0.5001961911224944,0.1574261550183205,0.0009998000399920016,True
785f3ec7eb32f30b,Pleasant,2,0.1479618198443553,0.15926564232040435,0.5028994201159768,False
535fa30d7e25dd8a,Negative,0,0.34438968937650555,0.16460963243484908,0.008198360327934412,True
535fa30d7e25dd8a,Neutral,1,0.2347050386481499,0.16728772714352877,0.10757848430313938,False
535fa30d7e25dd8a,Pleasant,2,0.4746042692613723,0.16240113362735623,0.0001999600079984003,True
c2356069e9d1e79c,Negative,0,0.23550491513429536,0.16482307831821139,0.10637872425514897,False
c2356069e9d1e79c,Neutral,1,0.2787196138119894,0.16353895983304015,0.03999200159968006,True
c2356069e9d1e79c,Pleasant,2,0.19989552368163166,0.16528778576581005,0.23455308938212358,False
b7a56873cd771f2c,Negative,0,0.14685221564383982,0.16334341963114896,0.563887222555489,False
b7a56873cd771f2c,Neutral,1,0.29372177493986384,0.16585014367637368,0.022795440911817635,True
b7a56873cd771f2c,Pleasant,2,0.3285115970332766,0.16585104296590275,0.010397920415916816,True
670671cd97404156,Negative,0,0.10970727605070807,0.16172879948018207,0.7766446710657868,False
670671cd97404156,Neutral,1,0.511855235250422,0.16013314726065395,0.0001999600079984003,True
670671cd97404156,Pleasant,2,0.2887265060792243,0.155768138353517,0.0619876024795041,False
