config_id,n_classes,labels,n_observations,n_subjects,n_features,n_folds,balanced_accuracy_mean,balanced_accuracy_sd,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,roc_auc_mean,roc_auc_sd,fold_balanced_accuracy_values,fold_roc_auc_values,elapsed_seconds
raw_3class,3,"Negative,Neutral,Pleasant",633,211,204,5,0.6715023994093761,0.021354910947930583,0.6715023994093763,0.021354910947930558,0.6682155114587621,0.021270213551342832,0.8460565188758034,0.015168879108003058,"[0.6511627906976744, 0.6666666666666666, 0.7063492063492064, 0.6587301587301587, 0.6746031746031745]","[0.8425274923382009, 0.8559145880574452, 0.833522297808012, 0.8669690098261528, 0.8313492063492064]",0.389
raw_2class_NegVsPos,2,"Negative,Pleasant",422,211,204,5,0.6918050941306755,0.024165328026975477,0.6918050941306755,0.024165328026975477,0.6887565620331841,0.025237364280657863,0.7762267156727483,0.0302353455219892,"[0.7209302325581395, 0.6785714285714286, 0.7142857142857143, 0.6785714285714286, 0.6666666666666666]","[0.8080043266630611, 0.7545351473922902, 0.753968253968254, 0.8106575963718821, 0.753968253968254]",0.187
calibrated_2class_NegVsPos,2,"Negative,Pleasant",422,211,204,5,0.7580287929125139,0.03974531892236662,0.7580287929125139,0.039745318922366636,0.756850049345436,0.04027796980102668,0.8582373998815319,0.03821749190197498,"[0.813953488372093, 0.7619047619047619, 0.7261904761904762, 0.7738095238095237, 0.7142857142857143]","[0.8864250946457545, 0.861111111111111, 0.8514739229024944, 0.8945578231292517, 0.7976190476190477]",0.139
