policy,epsilon,episode,success,steps,final_entropy,brier
efe,0.0,122,1,2,0.0362,0.0001
efe,0.0,123,1,1,0.0145,0.0
efe,0.0,124,1,8,0.3445,0.0238
efe,0.0,125,1,7,0.2302,0.0064
efe,0.0,126,1,2,0.3347,0.0164
efe,0.0,127,0,15,0.005,1.9977
efe,0.0,128,1,1,0.4457,0.051
efe,0.0,129,1,1,0.0515,0.0001
efe,0.0,130,1,7,0.0101,0.0
efe,0.0,131,1,1,0.4785,0.0322
efe,0.0,132,1,4,0.3972,0.0348
efe,0.0,133,1,8,0.2765,0.0092
efe,0.0,134,1,3,0.2556,0.0055
efe,0.0,135,1,3,0.4485,0.039
efe,0.0,136,1,2,0.3916,0.0151
efe,0.0,137,1,1,0.0469,0.0001
efe,0.0,138,1,5,0.0032,0.0
efe,0.0,139,1,7,0.3996,0.0369
efe,0.0,140,1,9,0.3729,0.0303
efe,0.0,141,1,1,0.1665,0.0019
efe,0.0,142,1,1,0.209,0.0028
efe,0.0,143,1,7,0.1985,0.0049
efe,0.0,144,1,7,0.3551,0.0256
efe,0.0,145,1,4,0.0033,0.0
efe,0.0,146,1,9,0.3365,0.0221
efe,0.0,147,1,3,0.4142,0.0197
efe,0.0,148,1,2,0.0285,0.0
efe,0.0,149,1,3,0.5385,0.0438
efe,0.0,150,1,7,0.442,0.0521
efe,0.0,151,1,3,0.0069,0.0
efe,0.0,152,1,2,0.1544,0.0021
efe,0.0,153,1,3,0.1004,0.0008
efe,0.0,154,1,4,0.31,0.0079
efe,0.0,155,0,15,0.06,1.9567
efe,0.0,156,1,4,0.0097,0.0
efe,0.0,157,1,6,0.5765,0.0609
efe,0.0,158,1,4,0.0772,0.0003
efe,0.0,159,1,1,0.0515,0.0001
efe,0.0,160,1,2,0.4484,0.052
efe,0.0,161,1,2,0.084,0.0005
efe,0.0,162,0,15,0.0,2.0
efe,0.0,163,1,3,0.0027,0.0
efe,0.0,164,1,3,0.3787,0.0136
efe,0.0,165,0,15,0.3148,1.6366
efe,0.0,166,1,3,0.3177,0.0137
efe,0.0,167,0,15,0.524,1.2239
efe,0.0,168,1,1,0.0513,0.0001
efe,0.0,169,1,4,0.078,0.0004
efe,0.0,170,1,3,0.1431,0.0011
efe,0.0,171,1,2,0.2334,0.007
efe,0.0,172,1,2,0.5878,0.0489
efe,0.0,173,0,15,0.0,2.0
efe,0.0,174,1,1,0.0197,0.0
efe,0.0,175,1,9,0.1407,0.0018
efe,0.0,176,1,1,0.5711,0.0472
efe,0.0,177,1,10,0.0131,0.0
efe,0.0,178,1,1,0.0322,0.0
efe,0.0,179,0,15,0.0,2.0
efe,0.0,180,1,2,0.1165,0.0008
efe,0.0,181,1,1,0.506,0.0353
efe,0.0,182,1,1,0.2345,0.0063
efe,0.0,183,1,1,0.0095,0.0
efe,0.0,184,1,1,0.1955,0.0029
efe,0.0,185,1,1,0.3578,0.0186
efe,0.0,186,1,7,0.3293,0.0159
efe,0.0,187,1,2,0.4185,0.0184
efe,0.0,188,0,15,0.0,2.0
efe,0.0,189,1,1,0.2784,0.0115
efe,0.0,190,1,1,0.341,0.0123
efe,0.0,191,1,6,0.3789,0.0232
efe,0.0,192,1,1,0.2784,0.0115
efe,0.0,193,1,2,0.2423,0.0047
efe,0.0,194,1,4,0.2034,0.0053
efe,0.0,195,1,1,0.4154,0.0202
efe,0.0,196,1,2,0.4608,0.0595
efe,0.0,197,1,5,0.3531,0.0215
efe,0.0,198,1,1,0.1065,0.0006
efe,0.0,199,0,15,0.0001,2.0
efe,0.0,200,1,3,0.0896,0.0006
efe,0.0,201,0,15,0.3101,1.8333
efe,0.0,202,1,1,0.2988,0.0098
efe,0.0,203,1,1,0.1018,0.0007
efe,0.0,204,1,1,0.2526,0.0048
efe,0.0,205,1,1,0.023,0.0
efe,0.0,206,1,1,0.5221,0.0653
efe,0.0,207,1,3,0.4052,0.0228
efe,0.0,208,1,1,0.1122,0.0008
efe,0.0,209,1,5,0.2876,0.014
efe,0.0,210,1,2,0.0817,0.0005
efe,0.0,211,1,2,0.1117,0.0009
efe,0.0,212,1,2,0.3438,0.022
efe,0.0,213,1,1,0.3716,0.0175
efe,0.0,214,1,1,0.0216,0.0
efe,0.0,215,0,15,0.0619,1.9777
efe,0.0,216,1,1,0.0216,0.0
efe,0.0,217,1,6,0.2248,0.0067
efe,0.0,218,1,1,0.1065,0.0006
efe,0.0,219,1,4,0.3957,0.0364
efe,0.0,220,0,15,0.3408,1.8089
efe,0.0,221,1,3,0.4146,0.0422
efe,0.0,222,1,1,0.2988,0.0098
efe,0.0,223,0,15,0.0,2.0
efe,0.0,224,1,7,0.0557,0.0002
efe,0.0,225,1,1,0.4687,0.0459
efe,0.0,226,1,7,0.3565,0.0264
efe,0.0,227,1,2,0.3995,0.037
efe,0.0,228,1,15,0.3513,0.023
efe,0.0,229,1,2,0.0071,0.0
efe,0.0,230,1,1,0.1018,0.0007
efe,0.0,231,1,2,0.1943,0.0046
efe,0.0,232,1,2,0.5876,0.0486
efe,0.0,233,1,4,0.0101,0.0
efe,0.0,234,1,1,0.506,0.0353
efe,0.0,235,1,1,0.341,0.0123
efe,0.0,236,0,15,0.0,2.0
efe,0.0,237,1,2,0.0685,0.0002
efe,0.0,238,1,8,0.096,0.0008
efe,0.0,239,1,7,0.3037,0.0163
efe,0.0,240,1,1,0.3835,0.02
efe,0.0,241,1,1,0.431,0.0201
efe,0.0,242,1,1,0.0181,0.0
efe,0.0,243,1,4,0.1008,0.0005
efe,0.0,244,1,1,0.4966,0.038
efe,0.0,245,1,7,0.0263,0.0
efe,0.0,246,1,1,0.448,0.0477
efe,0.0,247,0,15,0.1025,1.9163
efe,0.0,248,1,14,0.1421,0.0021
