source,target,linear_cka,cca_top1,cca_mean_top5,ridge_cross_predict_r2
E,D,0.3058,1.0,1.0,0.1005
E,T,0.0299,1.0,1.0,-0.1434
E,C,0.0738,1.0,0.6,0.0362
D,E,0.3058,1.0,1.0,-3.4005
D,T,0.0174,1.0,1.0,-3.8916
D,C,0.1858,0.9948,0.5926,-1.5910
T,E,0.0299,1.0,1.0,-0.3089
T,D,0.0174,1.0,1.0,-0.3131
T,C,0.0314,0.6806,0.3617,-0.1659
C,E,0.0738,1.0,0.6,-0.0432
C,D,0.1858,0.9948,0.5926,0.0129
C,T,0.0314,0.6806,0.3617,-0.0521
